Quote_ID,Policy_ID,Annual_Premium,Date,LOB,Quarter,Year
,1,"$1,000 ",12/01/14,C,Q4,2014
,2,"$1,100 ",01/01/15,C,Q1,2015
,3,"$1,200 ",02/01/15,A,Q1,2015
,4,"$1,300 ",04/01/15,C,Q2,2015
,5,"$1,400 ",05/01/15,D,Q2,2015
,6,"$1,500 ",06/01/15,C,Q2,2015
,7,"$1,600 ",07/01/15,D,Q3,2015
,8,"$1,700 ",08/01/15,D,Q3,2015
,9,"$1,800 ",09/01/15,B,Q3,2015
,10,"$1,900 ",09/15/15,C,Q3,2015
,11,"$2,000 ",10/01/15,A,Q4,2015
,12,"$2,100 ",10/15/15,C,Q4,2015
,13,"$2,200 ",11/01/15,C,Q4,2015
,14,"$2,300 ",11/15/15,D,Q4,2015
,15,"$2,400 ",12/01/15,A,Q4,2015
,16,"$2,500 ",01/01/16,B,Q1,2016
,17,"$2,600 ",02/01/16,B,Q1,2016
,18,"$2,700 ",03/01/16,D,Q1,2016
,19,"$2,800 ",01/15/16,A,Q1,2016
,20,"$2,900 ",02/15/16,C,Q1,2016
,21,"$3,000 ",03/15/16,D,Q1,2016
,22,"$3,100 ",04/01/16,A,Q2,2016
,23,"$3,200 ",05/01/16,C,Q2,2016
,24,"$3,300 ",06/01/16,D,Q2,2016
,25,"$3,400 ",04/15/16,C,Q2,2016
,26,"$3,500 ",05/15/16,C,Q2,2016
,27,"$3,600 ",06/15/16,C,Q2,2016
,28,"$3,700 ",04/30/16,A,Q2,2016
,29,"$3,800 ",07/01/16,A,Q3,2016
,30,"$3,900 ",08/01/16,B,Q3,2016
,31,"$4,000 ",09/01/16,C,Q3,2016
,32,"$4,100 ",07/15/16,B,Q3,2016
,33,"$4,200 ",08/15/16,D,Q3,2016
,34,"$4,300 ",09/15/16,D,Q3,2016
,35,"$4,400 ",07/31/16,A,Q3,2016
,36,"$4,500 ",08/31/16,A,Q3,2016
1,,,10/01/14,B,Q4,2014
2,,,10/02/14,D,Q4,2014
3,,,01/01/15,D,Q1,2015
4,,,01/02/15,C,Q1,2015
5,,,01/03/15,B,Q1,2015
6,,,01/04/15,B,Q1,2015
7,,,04/01/15,B,Q2,2015
8,,,04/02/15,A,Q2,2015
9,,,04/03/15,D,Q2,2015
10,,,04/04/15,D,Q2,2015
11,,,04/05/15,A,Q2,2015
12,,,04/06/15,D,Q2,2015
13,,,07/01/15,C,Q3,2015
14,,,07/02/15,D,Q3,2015
15,,,07/03/15,D,Q3,2015
16,,,07/04/15,C,Q3,2015
17,,,07/05/15,A,Q3,2015
18,,,07/06/15,D,Q3,2015
19,,,07/07/15,C,Q3,2015
20,,,07/08/15,B,Q3,2015
21,,,10/01/15,C,Q4,2015
22,,,10/02/15,D,Q4,2015
23,,,10/03/15,B,Q4,2015
24,,,10/04/15,B,Q4,2015
25,,,10/05/15,B,Q4,2015
26,,,10/06/15,A,Q4,2015
27,,,10/07/15,D,Q4,2015
28,,,10/08/15,D,Q4,2015
29,,,10/09/15,A,Q4,2015
30,,,10/10/15,D,Q4,2015
31,,,01/01/15,C,Q1,2016
32,,,01/02/15,C,Q1,2016
33,,,01/03/15,B,Q1,2016
34,,,01/04/15,C,Q1,2016
35,,,01/05/15,A,Q1,2016
36,,,01/06/15,D,Q1,2016
37,,,01/07/15,A,Q1,2016
38,,,01/08/15,C,Q1,2016
39,,,01/09/15,D,Q1,2016
40,,,01/10/15,C,Q1,2016
41,,,01/11/15,A,Q1,2016
42,,,01/12/15,A,Q1,2016
43,,,04/01/15,A,Q2,2016
44,,,04/02/15,B,Q2,2016
45,,,04/03/15,B,Q2,2016
46,,,04/04/15,B,Q2,2016
47,,,04/05/15,D,Q2,2016
48,,,04/06/15,B,Q2,2016
49,,,04/07/15,B,Q2,2016
50,,,04/08/15,B,Q2,2016
51,,,04/09/15,D,Q2,2016
52,,,04/10/15,C,Q2,2016
53,,,04/11/15,A,Q2,2016
54,,,04/12/15,A,Q2,2016
55,,,04/13/15,C,Q2,2016
56,,,04/14/15,B,Q2,2016
57,,,07/01/15,C,Q3,2016
58,,,07/02/15,A,Q3,2016
59,,,07/03/15,D,Q3,2016
60,,,07/04/15,A,Q3,2016
61,,,07/05/15,B,Q3,2016
62,,,07/06/15,A,Q3,2016
63,,,07/07/15,A,Q3,2016
64,,,07/08/15,A,Q3,2016
65,,,07/09/15,D,Q3,2016
66,,,07/10/15,B,Q3,2016
67,,,07/11/15,B,Q3,2016
68,,,07/12/15,C,Q3,2016
69,,,07/13/15,C,Q3,2016
70,,,07/14/15,A,Q3,2016
71,,,07/15/15,A,Q3,2016
72,,,07/16/15,D,Q3,2016
