cid,g,a,d,i,cl
B,F,1,1,43,0
B,F,1,2,13,0
B,F,1,4,100,1
B,F,1,5,79,0
B,F,1,6,118,1
B,F,1,7,119,2
B,F,1,8,39,0
B,F,1,9,91,0
B,F,1,10,110,1
B,F,1,11,172,2
B,F,1,12,158,0
B,F,1,13,189,2
B,F,1,14,257,3
B,F,1,15,206,2
B,F,1,16,166,0
B,F,1,17,254,0
B,F,1,18,298,0
B,F,1,19,348,0
B,F,1,20,394,2
B,F,1,21,157,2
B,F,1,22,269,3
B,F,1,23,213,0
B,F,1,24,228,3
B,F,1,25,203,2
B,F,1,26,224,2
B,F,1,27,210,0
B,F,1,28,127,1
B,F,1,29,134,2
B,F,1,30,1,0
B,F,2,1,35,0
B,F,2,2,10,0
B,F,2,4,113,1
B,F,2,5,98,0
B,F,2,6,138,2
B,F,2,7,129,0
B,F,2,8,46,0
B,F,2,9,130,0
B,F,2,10,115,0
B,F,2,11,185,0
B,F,2,12,158,0
B,F,2,13,203,0
B,F,2,14,250,2
B,F,2,15,196,3
B,F,2,16,174,0
B,F,2,17,245,3
B,F,2,18,317,3
B,F,2,19,339,1
B,F,2,20,428,1
B,F,2,21,160,1
B,F,2,22,295,3
B,F,2,23,196,0
B,F,2,24,196,1
B,F,2,25,221,3
B,F,2,26,201,1
B,F,2,27,166,0
B,F,2,28,128,2
B,F,2,29,128,3
B,F,3,1,29,0
B,F,3,2,11,0
B,F,3,4,114,1
B,F,3,5,76,3
B,F,3,6,107,1
B,F,3,7,85,1
B,F,3,8,35,0
B,F,3,9,104,0
B,F,3,10,106,1
B,F,3,11,172,3
B,F,3,12,161,1
B,F,3,13,164,0
B,F,3,14,207,1
B,F,3,15,138,1
B,F,3,16,140,0
B,F,3,17,244,1
B,F,3,18,241,3
B,F,3,19,302,2
B,F,3,20,352,4
B,F,3,21,124,0
B,F,3,22,237,1
B,F,3,23,164,2
B,F,3,24,157,0
B,F,3,25,151,1
B,F,3,26,246,1
B,F,3,27,172,1
B,F,3,28,109,1
B,F,3,29,114,2
B,F,4,1,39,1
B,F,4,2,5,0
B,F,4,4,93,0
B,F,4,5,83,0
B,F,4,6,106,1
B,F,4,7,108,1
B,F,4,8,35,0
B,F,4,9,101,1
B,F,4,10,110,0
B,F,4,11,183,2
B,F,4,12,144,0
B,F,4,13,161,0
B,F,4,14,198,0
B,F,4,15,160,0
B,F,4,16,176,0
B,F,4,17,218,3
B,F,4,18,286,2
B,F,4,19,289,2
B,F,4,20,365,4
B,F,4,21,156,3
B,F,4,22,271,1
B,F,4,23,165,0
B,F,4,24,201,0
B,F,4,25,188,0
B,F,4,26,226,1
B,F,4,27,142,0
B,F,4,28,94,0
B,F,4,29,110,0
B,F,4,30,2,0
B,F,5,1,80,1
B,F,5,2,11,0
B,F,5,4,137,1
B,F,5,5,135,1
B,F,5,6,174,2
B,F,5,7,188,1
B,F,5,8,52,0
B,F,5,9,180,2
B,F,5,10,199,1
B,F,5,11,293,3
B,F,5,12,248,2
B,F,5,13,293,1
B,F,5,14,347,2
B,F,5,15,275,2
B,F,5,16,254,1
B,F,5,17,394,3
B,F,5,18,489,1
B,F,5,19,506,4
B,F,5,20,628,2
B,F,5,21,243,2
B,F,5,22,494,3
B,F,5,23,306,0
B,F,5,24,323,1
B,F,5,25,327,4
B,F,5,26,397,4
B,F,5,27,267,1
B,F,5,28,175,1
B,F,5,29,178,3
B,F,5,30,2,0
B,F,6,1,127,0
B,F,6,2,20,1
B,F,6,4,293,4
B,F,6,5,243,2
B,F,6,6,316,5
B,F,6,7,325,0
B,F,6,8,104,1
B,F,6,9,353,0
B,F,6,10,346,2
B,F,6,11,554,2
B,F,6,12,472,1
B,F,6,13,473,1
B,F,6,14,664,2
B,F,6,15,534,3
B,F,6,16,494,9
B,F,6,17,691,2
B,F,6,18,886,6
B,F,6,19,970,3
B,F,6,20,1130,7
B,F,6,21,451,5
B,F,6,22,830,2
B,F,6,23,546,3
